code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09626,2021-06-18 00:00:00,895.0,901.0,901.0,884.5,0.0,0.00174,669926,598467900.0,5.257009345794392,856.0
HK.09626,2021-06-21 00:00:00,908.5,910.0,920.0,904.0,0.0,0.00127,487691,444378027.0,0.9988901220865706,901.0
HK.09626,2021-06-22 00:00:00,884.5,877.0,887.5,871.0,0.0,0.00086,329496,289784505.0,-3.626373626373627,910.0
HK.09626,2021-06-23 00:00:00,859.0,869.0,873.0,851.5,0.0,0.00124,477454,412923534.0,-0.9122006841505131,877.0
HK.09626,2021-06-24 00:00:00,891.5,892.0,902.0,888.5,0.0,0.00118,454922,407912945.0,2.6467203682393556,869.0
HK.09626,2021-06-25 00:00:00,937.0,958.0,967.0,937.0,0.0,0.0019,728604,694688610.0,7.399103139013453,892.0
HK.09626,2021-06-28 00:00:00,958.0,979.0,1052.0,957.0,0.0,0.00087,336198,328253644.0,2.1920668058455117,958.0
HK.09626,2021-06-29 00:00:00,980.0,978.0,994.5,972.0,0.0,0.00085,325986,319739436.0,-0.10214504596527069,979.0
HK.09626,2021-06-30 00:00:00,977.0,956.0,977.0,951.5,0.0,0.00053,204776,196590607.0,-2.2494887525562373,978.0
HK.09626,2021-07-02 00:00:00,949.5,935.0,949.5,920.0,0.0,0.00118,454862,425319834.0,-2.1966527196652716,956.0
HK.09626,2021-07-05 00:00:00,932.0,900.0,932.0,884.0,0.0,0.00102,392174,353522821.0,-3.7433155080213902,935.0
HK.09626,2021-07-06 00:00:00,903.0,891.5,912.5,884.0,0.0,0.00109,417950,373355455.0,-0.9444444444444444,900.0
HK.09626,2021-07-07 00:00:00,850.0,846.5,851.5,835.0,0.0,0.00254,977645,824373957.0,-5.047672462142456,891.5
HK.09626,2021-07-08 00:00:00,815.0,784.5,815.0,775.5,0.0,0.0036,1383461,1088864415.0,-7.324276432368576,846.5
HK.09626,2021-07-09 00:00:00,788.0,798.0,814.0,770.5,0.0,0.00305,1173109,938346994.0,1.7208413001912046,784.5
HK.09626,2021-07-12 00:00:00,841.5,838.0,843.5,816.5,0.0,0.00172,661599,552424151.0,5.012531328320802,798.0
HK.09626,2021-07-13 00:00:00,828.0,868.0,872.5,823.0,0.0,0.00238,912996,787532450.0,3.579952267303103,838.0
HK.09626,2021-07-14 00:00:00,863.0,863.5,865.5,849.5,0.0,0.00094,360886,310308734.0,-0.5184331797235023,868.0
HK.09626,2021-07-15 00:00:00,849.0,861.5,869.5,844.0,0.0,0.00115,440571,379258429.0,-0.23161551823972204,863.5
HK.09626,2021-07-16 00:00:00,857.0,867.0,881.0,850.5,0.0,0.00151,579165,503488218.0,0.6384213580963436,861.5
HK.09626,2021-07-19 00:00:00,845.0,843.5,847.0,829.5,0.0,0.00123,472335,397527073.0,-2.7104959630911187,867.0
HK.09626,2021-07-20 00:00:00,845.5,852.5,860.0,838.5,0.0,0.00083,320802,273029323.0,1.066982809721399,843.5
HK.09626,2021-07-21 00:00:00,867.5,863.5,882.0,850.5,0.0,0.00154,590693,508959950.0,1.2903225806451613,852.5
HK.09626,2021-07-22 00:00:00,897.0,902.5,919.0,891.0,0.0,0.00125,481342,435226355.0,4.51650260567458,863.5
HK.09626,2021-07-23 00:00:00,854.5,820.0,854.5,807.5,0.0,0.00364,1398007,1151717857.0,-9.141274238227147,902.5
HK.09626,2021-07-26 00:00:00,730.0,726.0,736.0,698.5,0.0,0.00613,2357346,1694234101.0,-11.463414634146343,820.0
HK.09626,2021-07-27 00:00:00,685.0,639.0,699.0,621.5,0.0,0.00631,2426977,1599761062.0,-11.983471074380166,726.0
HK.09626,2021-07-28 00:00:00,643.0,649.0,673.0,612.0,0.0,0.00512,1968706,1257686338.0,1.5649452269170578,639.0
HK.09626,2021-07-29 00:00:00,722.0,724.5,735.5,703.0,0.0,0.00814,3128248,2232385850.0,11.633281972265024,649.0
HK.09626,2021-07-30 00:00:00,679.5,665.5,688.0,656.0,0.0,0.00326,1252832,833887225.0,-8.143547273982056,724.5
HK.09626,2021-08-02 00:00:00,666.5,668.5,675.0,655.5,0.0,0.0018,690491,459481768.0,0.4507888805409466,665.5
HK.09626,2021-08-03 00:00:00,688.0,645.5,697.5,573.0,0.0,0.00761,2926768,1819570864.0,-3.4405385190725504,668.5
HK.09626,2021-08-04 00:00:00,644.0,649.0,667.0,635.0,0.0,0.0021,807400,522942345.0,0.5422153369481022,645.5
HK.09626,2021-08-05 00:00:00,635.0,628.0,640.5,617.5,0.0,0.00217,833088,524696683.0,-3.2357473035439135,649.0
HK.09626,2021-08-06 00:00:00,627.0,629.0,630.0,607.0,0.0,0.00116,446334,275452157.0,0.15923566878980894,628.0
HK.09626,2021-08-09 00:00:00,618.0,619.0,645.5,608.0,0.0,0.00138,529455,331592393.0,-1.5898251192368837,629.0
HK.09626,2021-08-10 00:00:00,638.5,655.0,664.0,635.0,0.0,0.00149,574473,373831925.0,5.815831987075929,619.0
HK.09626,2021-08-11 00:00:00,628.5,623.5,639.0,614.5,0.0,0.00266,1020662,635961504.0,-4.809160305343512,655.0
HK.09626,2021-08-12 00:00:00,628.0,620.0,635.0,613.5,0.0,0.00152,583857,362259762.0,-0.5613472333600642,623.5
